#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Mucin                PF01456.16   143 g11320.t1            -            466   0.00087   19.2  12.2   1   2   1.6e-07   0.00087   19.2  12.2    15   108    60   218    53   245 0.67 Mucin-like glycoprotein
Mucin                PF01456.16   143 g11320.t1            -            466   0.00087   19.2  12.2   2   2     0.046   2.6e+02    1.5   1.2    46    57   290   301   275   309 0.55 Mucin-like glycoprotein
CBM_14               PF01607.23    53 g11320.t1            -            466    0.0031   17.6   6.3   1   4       1.2   6.8e+03   -2.8   0.3    18    35    14    31    13    39 0.72 Chitin binding Peritrophin-A domain
CBM_14               PF01607.23    53 g11320.t1            -            466    0.0031   17.6   6.3   2   4      0.02   1.1e+02    3.0   3.3    15    45    56    99    47   105 0.68 Chitin binding Peritrophin-A domain
CBM_14               PF01607.23    53 g11320.t1            -            466    0.0031   17.6   6.3   3   4   5.5e-07    0.0031   17.6   6.3     1    46   326   371   326   377 0.91 Chitin binding Peritrophin-A domain
CBM_14               PF01607.23    53 g11320.t1            -            466    0.0031   17.6   6.3   4   4    0.0058        33    4.7   7.6     8    42   414   452   405   465 0.72 Chitin binding Peritrophin-A domain
Toxin_35             PF10530.8     61 g11320.t1            -            466     0.024   14.5   1.7   1   3         3   1.7e+04   -7.1   4.1    30    36    58    64    53    73 0.62 Toxin with inhibitor cystine knot ICK or Knottin scaffold
Toxin_35             PF10530.8     61 g11320.t1            -            466     0.024   14.5   1.7   2   3      0.58   3.2e+03   -1.9   1.5    28    36   339   347   335   358 0.79 Toxin with inhibitor cystine knot ICK or Knottin scaffold
Toxin_35             PF10530.8     61 g11320.t1            -            466     0.024   14.5   1.7   3   3   4.3e-06     0.024   14.5   1.7     7    51   399   443   395   451 0.88 Toxin with inhibitor cystine knot ICK or Knottin scaffold
TRAPPC9-Trs120       PF08626.10  1233 g11513.t1            -           1099   1.7e-26   91.9   0.0   1   4   5.3e-14   4.4e-10   37.5   0.0    69   308    62   331    53   370 0.73 Transport protein Trs120 or TRAPPC9, TRAPP II complex subunit
TRAPPC9-Trs120       PF08626.10  1233 g11513.t1            -           1099   1.7e-26   91.9   0.0   2   4     0.004        34    1.5   0.0   467   486   463   482   439   491 0.81 Transport protein Trs120 or TRAPPC9, TRAPP II complex subunit
TRAPPC9-Trs120       PF08626.10  1233 g11513.t1            -           1099   1.7e-26   91.9   0.0   3   4   1.5e-15   1.3e-11   42.6   0.0   551   862   518   823   498   951 0.80 Transport protein Trs120 or TRAPPC9, TRAPP II complex subunit
TRAPPC9-Trs120       PF08626.10  1233 g11513.t1            -           1099   1.7e-26   91.9   0.0   4   4    0.0019        16    2.6   0.0  1100  1198   986  1080   985  1098 0.80 Transport protein Trs120 or TRAPPC9, TRAPP II complex subunit
TRAPPC-Trs85         PF12739.6    389 g11513.t1            -           1099      0.08   11.8   0.1   1   2   0.00036         3    6.6   0.0   326   376   229   321    85   338 0.66 ER-Golgi trafficking TRAPP I complex 85 kDa subunit
TRAPPC-Trs85         PF12739.6    389 g11513.t1            -           1099      0.08   11.8   0.1   2   2    0.0054        45    2.8   0.0   336   358   427   492   341   533 0.65 ER-Golgi trafficking TRAPP I complex 85 kDa subunit
zf-C3HC4_3           PF13920.5     50 g11960.t1            -            981   4.8e-06   26.2   8.5   1   1   7.8e-09   8.1e-06   25.5   8.5     4    45   926   967   923   971 0.93 Zinc finger, C3HC4 type (RING finger)
zf-C3HC4_2           PF13923.5     40 g11960.t1            -            981   5.5e-06   26.0   9.2   1   1   9.9e-09     1e-05   25.1   9.2     2    40   927   965   926   965 0.95 Zinc finger, C3HC4 type (RING finger)
zf-C3HC4             PF00097.24    41 g11960.t1            -            981   1.7e-05   24.5  10.7   1   1   3.4e-08   3.5e-05   23.5  10.7     1    41   927   965   927   965 0.96 Zinc finger, C3HC4 type (RING finger)
